,Name,Screen name,Party,Constituency,Followers,New followers in last 24 hours,Members API ID
0,Zarah Sultana,@zarahsultana,Labour,Coventry South,279816,713,4786.0
1,Yvonne Fovargue ,@Y_FovargueMP,Labour,Makerfield,14284,3,4034.0
2,Yvette Cooper ,@YvetteCooperMP,Labour,"Normanton, Pontefract and Castleford",393531,39,420.0
3,Yasmin Qureshi ,@YasminQureshiMP,Labour,Bolton South East,25591,0,3924.0
4,William Wragg ,@William_Wragg,Conservative,Hazel Grove,20961,0,4429.0
5,William Cash ,@BillCashMP,Conservative,Stone,20588,-2,3986.0
6,Will Quince ,@willquince,Conservative,Colchester,22346,11,4423.0
7,Wes Streeting ,@wesstreeting,Labour,Ilford North,158943,129,4504.0
8,Wera Hobhouse,@Wera_Hobhouse,Liberal Democrat,Bath,24334,-14,4602.0
9,Wendy Morton ,@morton_wendy,Conservative,Aldridge-Brownhills,19480,0,4358.0
10,Wendy Chamberlain,@wendychambLD,Liberal Democrat,North East Fife,8006,-1,4765.0
11,Wayne David ,@WayneDavid_MP,Labour,Caerphilly,15506,5,1398.0
12,Virendra Sharma ,@VirendraSharma,Labour,"Ealing, Southall",20437,-1,1604.0
13,Victoria Prentis ,@VictoriaPrentis,Conservative,Banbury,14625,2,4401.0
14,Vicky Foxcroft ,@vickyfoxcroft,Labour,"Lewisham, Deptford",23156,-3,4491.0
15,Vicky Ford,@vickyford,Conservative,Chelmsford,41245,45,4674.0
16,Valerie Vaz ,@Valerie_VazMP,Labour,Walsall South,8576,-1,4076.0
17,Tulip Siddiq ,@TulipSiddiq,Labour,Hampstead and Kilburn,198175,0,4518.0
18,Tracy Brabin ,@TracyBrabin,Labour,Batley and Spen,68058,-2,4923.0
19,Tracey Crouch ,@tracey_crouch,Conservative,Chatham and Aylesford,41770,4,3950.0
20,Tony Lloyd,@tony4rochdale,Labour,Rochdale,9572,-1,450.0
21,Tonia Antoniazzi,@ToniaAntoniazzi,Labour,Gower,18383,-2,4623.0
22,Tommy Sheppard ,@TommySheppard,Scottish National Party,Edinburgh East,40277,24,4453.0
23,Tom Tugendhat ,@TomTugendhat,Conservative,Tonbridge and Malling,138594,280,4462.0
24,Tom Randall,@Tom_Randall,Conservative,Gedling,5194,-3,4845.0
25,Tom Pursglove ,@VotePursglove,Conservative,Corby,15710,3,4369.0
26,Tom Hunt,@tomhunt1988,Conservative,Ipswich,14528,-5,4771.0
27,Toby Perkins ,@tobyperkinsmp,Labour,Chesterfield,30501,7,3952.0
28,Tobias Ellwood,@Tobias_Ellwood,Conservative,Bournemouth East,92048,78,1487.0
29,Tim Loughton ,@timloughton,Conservative,East Worthing and Shoreham,22512,-3,114.0
30,Tim Farron,@timfarron,Liberal Democrat,Westmorland and Lonsdale,289889,-2,1591.0
31,Theresa May ,@theresa_may,Conservative,Maidenhead,1016928,-27,8.0
32,Theo Clarke,@theodoraclarke,Conservative,Stafford,9300,2,4819.0
33,Thangam Debbonaire ,@ThangamMP,Labour,Bristol West,36704,78,4433.0
34,Tanmanjit Singh Dhesi,@TanDhesi,Labour,Slough,98930,-9,4638.0
35,Taiwo Owatemi,@TaiwoOwatemi,Labour,Coventry North West,21395,-1,4779.0
36,Tahir Ali,@TahirAliMP,Labour,"Birmingham, Hall Green",3834,3,4747.0
37,Suzanne Webb,@Q66Suzi,Conservative,Stourbridge,5568,-1,4802.0
38,Suella Fernandes ,@SuellaBraverman,Conservative,Fareham,54693,25,4475.0
39,Stuart Paul Anderson,@Stuart4WolvesSW,Conservative,Wolverhampton South West,8434,-2,4742.0
40,Stuart C. McDonald ,@Stuart_McDonald,Scottish National Party,"Cumbernauld, Kilsyth and Kirkintilloch East",13848,1,4393.0
41,Stuart Andrew,@StuartAndrew,Conservative,Pudsey,20842,0,4032.0
42,Stewart Malcolm McDonald ,@StewartMcDonald,Scottish National Party,Glasgow South,38832,10,4461.0
43,Stewart Hosie ,@StewartHosieSNP,Scottish National Party,Dundee East,28678,5,1514.0
44,Steven Bonnar,@StevenBonnarSNP,Scottish National Party,"Coatbridge, Chryston and Bellshill",4171,1,4748.0
45,Steven Baker ,@SteveBakerHW,Conservative,Wycombe,158035,27,4064.0
46,Steve Reed ,@SteveReedMP,Labour,Croydon North,38464,3,4268.0
47,Steve McCabe ,@steve_mccabe,Labour,"Birmingham, Selly Oak",19348,-1,298.0
48,Steve Double ,@stevedouble,Conservative,St Austell and Newquay,15138,2,4452.0
49,Steve Brine,@BrineMP,Conservative,Winchester,12381,2,4067.0
50,Stephen Timms ,@stephenctimms,Labour,East Ham,19614,-4,163.0
51,Stephen Morgan,@StephenMorganMP,Labour,Portsmouth South,17210,-3,4653.0
52,Stephen Metcalfe ,@Metcalfe_SBET,Conservative,South Basildon and East Thurrock,8406,7,4092.0
53,Stephen McPartland ,@SMcPartland,Conservative,Stevenage,16883,-21,4093.0
54,Stephen Kinnock ,@SKinnock,Labour,Aberavon,37366,-3,4359.0
55,Stephen Hammond,@S_Hammond,Conservative,Wimbledon,20517,-3,1585.0
56,Stephen Flynn,@StephenFlynnSNP,Scottish National Party,Aberdeen South,10828,4,4735.0
57,Stephen Farry,@StephenFarryMP,Alliance Party of Northern Ireland,North Down,18277,9,4856.0
58,Stephen Doughty ,@SDoughtyMP,Labour,Cardiff South and Penarth,36787,-3,4264.0
59,Stephen Crabb ,@SCrabbPembs,Conservative,Preseli Pembrokeshire,22746,3,1554.0
60,Stephen Barclay ,@SteveBarclay,Conservative,North East Cambridgeshire,42990,34,4095.0
61,Stephanie Peacock,@Steph_Peacock,Labour,Barnsley East,11888,158,4607.0
62,Stella Creasy ,@stellacreasy,Labour,Walthamstow,160542,2,4088.0
63,Siobhan Baillie,@Siobhan_Baillie,Conservative,Stroud,13565,-2,4847.0
64,Siobhain McDonagh,@Siobhain_Mc,Labour,Mitcham and Morden,27481,-11,193.0
65,Simon Lightwood,@simonlightwood,Labour,Wakefield,13132,12,4943.0
66,Simon Jupp,@simonjamesjupp,Conservative,East Devon,8618,-2,4862.0
67,Simon Hoare ,@Simon4NDorset,Conservative,North Dorset,23482,4,4494.0
68,Simon Hart ,@Simonhartmp,Conservative,Carmarthen West and South Pembrokeshire,11943,0,3944.0
69,Simon Fell,@simonfell,Conservative,Barrow and Furness,5228,1,4744.0
70,Simon Clarke,@SimonClarkeMP,Conservative,Middlesbrough South and East Cleveland,22405,-4,4655.0
71,Simon Baynes,@baynes_simon,Conservative,Clwyd South,5238,1,4800.0
72,Sheryll Murray ,@sheryllmurray,Conservative,South East Cornwall,19166,-4,4100.0
73,Shaun Bailey,@Shaun4WBW,Conservative,West Bromwich West,4941,0,4757.0
74,Sharon Hodgson ,@SharonHodgsonMP,Labour,Washington and Sunderland West,34961,-2,1521.0
75,Shailesh Vara,@ShaileshVara,Conservative,North West Cambridgeshire,6799,10,1496.0
76,Shabana Mahmood ,@ShabanaMahmood,Labour,"Birmingham, Ladywood",26158,6,3914.0
77,Selaine Saxby,@SelaineSaxby,Conservative,North Devon,5457,1,4863.0
78,Seema Malhotra ,@SeemaMalhotra1,Labour,Feltham and Heston,26130,4,4253.0
79,Scott Mann ,@scottmann4NC,Conservative,North Cornwall,9648,4,4496.0
80,Scott Lloyd Benton,@ScottBentonMP,Conservative,Blackpool South,8468,4,4793.0
81,Sarah Owen,@SarahOwen_,Labour,Luton North,23474,1,4777.0
82,Sarah Olney,@sarahjolney1,Liberal Democrat,Richmond Park,18385,1,4591.0
83,Sarah Jones,@LabourSJ,Labour,Croydon Central,24036,0,4631.0
84,Sarah Green,@SarahGreenLD,Liberal Democrat,Chesham and Amersham,11188,1,4918.0
85,Sarah Dines,@Dines4Dales,Conservative,Derbyshire Dales,2726,1,4816.0
86,Sarah Champion ,@SarahChampionMP,Labour,Rotherham,50934,-1,4267.0
87,Sara Britcliffe,@SarBritcliffeMP,Conservative,Hyndburn,7179,3,4838.0
88,Saqib Bhatti,@bhatti_saqib,Conservative,Meriden,8567,1,4818.0
89,Sammy Wilson ,@eastantrimmp,Democratic Unionist Party,East Antrim,23889,-7,1593.0
90,Sam Tarry,@SamTarry,Labour,Ilford South,37149,45,4829.0
91,Sally-Ann Hart,@SallyAnn1066,Conservative,Hastings and Rye,5398,3,4842.0
92,Sajid Javid ,@sajidjavid,Conservative,Bromsgrove,297199,269,3945.0
93,Ruth Jones,@RuthNewportWest,Labour,Newport West,7844,2,4716.0
94,Ruth Edwards,@RuthEdwardsMP,Conservative,Rushcliffe,4431,3,4808.0
95,Ruth Cadbury ,@RuthCadbury,Labour,Brentford and Isleworth,23850,5,4389.0
96,Rushanara Ali ,@rushanaraali,Labour,Bethnal Green and Bow,47950,10,4138.0
97,Royston Smith ,@Royston_Smith,Conservative,"Southampton, Itchen",8513,-1,4478.0
98,Rosie Duffield,@RosieDuffield1,Labour,Canterbury,50646,15,4616.0
99,Rosie Cooper ,@rosie4westlancs,Labour,West Lancashire,15066,2,1538.0
100,Ronnie Cowan ,@ronniecowan,Scottish National Party,Inverclyde,13635,1,4465.0
101,Roger Gale,@SirRogerGale,Conservative,North Thanet,13632,5,87.0
102,Robin Walker ,@WalkerWorcester,Conservative,Worcester,16771,-3,4091.0
103,Robin John Millar,@RobinMillarMP,Conservative,Aberconwy,4084,-3,4746.0
104,Robert Syms ,@RobertSyms,Conservative,Poole,13796,5,4497.0
105,Robert Neill ,@neill_bob,Conservative,Bromley and Chislehurst,19379,-3,1601.0
106,Robert Largan,@robertlargan,Conservative,High Peak,7488,-3,4852.0
107,Robert Jenrick ,@RobertJenrick,Conservative,Newark,55573,-8,4320.0
108,Robert Halfon ,@halfon4harlowMP,Conservative,Harlow,37922,1,3985.0
109,Robert Courts ,@robertcourts,Conservative,Witney,10831,5,4589.0
110,Robert Buckland ,@RobertBuckland,Conservative,South Swindon,31186,1,4106.0
111,Robbie Moore,@_RobbieMoore,Conservative,Keighley,6844,0,4861.0
112,Rob Butler,@AylesburyTories,Conservative,Aylesbury,1056,0,4745.0
113,Rishi Sunak,@RishiSunak,Conservative,Richmond (Yorks),606092,12204,4483.0
114,Richard Holden,@RicHolden,Conservative,North West Durham,11102,5,4813.0
115,Richard Graham ,@RichardGrahamUK,Conservative,Gloucester,13643,-1,3990.0
116,Richard Gordon Thomson,@RThomsonMP,Scottish National Party,Gordon,3778,3,4796.0
117,Richard Foord,@RichardFoordLD,Liberal Democrat,Tiverton and Honiton,9444,11,4942.0
118,Richard Burgon ,@RichardBurgon,Labour,Leeds East,183434,145,4493.0
119,Richard Bacon,@richardbaconmp,Conservative,South Norfolk,1908,1,1451.0
120,Rehman Chishti ,@Rehman_Chishti,Conservative,Gillingham and Rainham,21858,10,3987.0
121,Rebecca Pow ,@pow_rebecca,Conservative,Taunton Deane,15477,1,4522.0
122,Rebecca Long-Bailey,@RLong_Bailey,Labour,Salford and Eccles,197151,74,4396.0
123,Rebecca Harris ,@RebeccaHarrisMP,Conservative,Castle Point,7658,4,3948.0
124,Ranil Jayawardena ,@TeamRanil,Conservative,North East Hampshire,2212,1,4498.0
125,Rachel Reeves ,@RachelReevesMP,Labour,Leeds West,144026,33,4031.0
126,Rachel Maclean,@redditchrachel,Conservative,Redditch,13359,-5,4668.0
127,Rachel Hopkins,@rach_hopkins,Labour,Luton South,9584,2,4873.0
128,Rachael Maskell ,@RachaelMaskell,Labour,York Central,36420,3,4471.0
129,Priti Patel ,@pritipatel,Conservative,Witham,418653,565,4066.0
130,Preet Gill,@PreetKGillMP,Labour,"Birmingham, Edgbaston",42782,11,4603.0
131,Philip Dunne,@Dunne4Ludlow,Conservative,Ludlow,13073,3,1542.0
132,Philip Davies ,@PhilipDaviesUK,Conservative,Shipley,21780,5,1565.0
133,Peter Kyle ,@peterkyle,Labour,Hove,53386,36,4505.0
134,Peter Grant ,@PeterGrantMP,Scottish National Party,Glenrothes,16836,3,4466.0
135,Peter Gibson,@Gibbo4Darlo,Conservative,Darlington,4602,1,4754.0
136,Peter Dowd ,@Peter_Dowd,Labour,Bootle,18710,3,4397.0
137,Peter Bottomley,@PBottomleyMP,Conservative,Worthing West,5942,4,117.0
138,Peter Bone ,@PeterBoneUK,Conservative,Wellingborough,47271,7,1581.0
139,Peter Aldous ,@peter_aldous,Conservative,Waveney,14663,10,4069.0
140,Pete Wishart ,@PeteWishart,Scottish National Party,Perth and North Perthshire,58058,13,1440.0
141,Penny Mordaunt ,@PennyMordaunt,Conservative,Portsmouth North,148634,310,4017.0
142,Pauline Latham ,@Pauline_Latham,Conservative,Mid Derbyshire,22050,-9,4025.0
143,Paula Barker,@PaulaBarkerMP,Labour,"Liverpool, Wavertree",17564,1,4828.0
144,Paul Scully ,@scullyp,Conservative,Sutton and Cheam,17440,-3,4414.0
145,Paul Maynard ,@PaulMaynardUK,Conservative,Blackpool North and Cleveleys,19562,0,3926.0
146,Paul Maskey ,@PaulMaskeyMP,Sinn Féin,Belfast West,20442,-2,4245.0
147,Paul Howell,@PaulHowellMP,Conservative,Sedgefield,4097,0,4830.0
148,Paul Holmes,@pauljholmes,Conservative,Eastleigh,8204,3,4803.0
149,Paul Girvan,@PaulGirvanMP,Democratic Unionist Party,South Antrim,6529,-2,4633.0
150,Paul Bristow,@paulbristow79,Conservative,Peterborough,11196,1,4792.0
151,Paul Blomfield ,@PaulBlomfieldMP,Labour,Sheffield Central,22646,-2,4058.0
152,Patrick Grady ,@GradySNP,Scottish National Party,Glasgow North,17007,-3,4432.0
153,Patricia Gibson ,@PGibsonSNP,Scottish National Party,North Ayrshire and Arran,13488,6,4435.0
154,Pat McFadden ,@patmcfaddenmp,Labour,Wolverhampton South East,28682,3,1587.0
155,Owen Thompson ,@OwenThompson,Scottish National Party,Midlothian,8488,5,4482.0
156,Órfhlaith Begley,@OrfhlaithBegley,Sinn Féin,West Tyrone,8822,-4,4697.0
157,Olivia Frances Blake,@_OliviaBlake,Labour,"Sheffield, Hallam",18290,8,4864.0
158,Oliver Heald QC ,@OliverHealdUK,Conservative,North East Hertfordshire,12249,0,69.0
159,Oliver Dowden,@OliverDowden,Conservative,Hertsmere,45096,-16,4441.0
160,Nusrat Ghani ,@Nus_Ghani,Conservative,Wealden,29875,-19,4460.0
161,Nigel Mills ,@nigelmills,Conservative,Amber Valley,6808,1,4136.0
162,Nigel Huddleston ,@HuddlestonNigel,Conservative,Mid Worcestershire,19579,5,4407.0
163,Nigel Evans,@nigelmp,Conservative,Ribble Valley,13764,3,474.0
164,Nigel Adams,@nadams,Conservative,Selby and Ainsty,14945,-2,4057.0
165,Nicola Faye Richards,@Nicola4WBE,Conservative,West Bromwich East,10047,-2,4868.0
166,Nickie Aiken,@twocitiesnickie,Conservative,Cities of London and Westminster,5191,7,4741.0
167,Nick Thomas-Symonds ,@NickTorfaen,Labour,Torfaen,34755,-6,4479.0
168,Nick Smith ,@BlaenauGwentMP,Labour,Blaenau Gwent,11080,-4,3928.0
169,Nick Gibb,@NickGibbUK,Conservative,Bognor Regis and Littlehampton,18613,-2,111.0
170,Nicholas Fletcher,@NickFletcherMP,Conservative,Don Valley,5310,6,4832.0
171,Nia Griffith ,@NiaGriffithMP,Labour,Llanelli,19000,-6,1541.0
172,Neil O'Brien,@NeilDotObrien,Conservative,Harborough,34161,6,4679.0
173,Neil Hudson,@DrNeilHudson,Conservative,Penrith and The Border,4765,5,4853.0
174,Neil Coyle ,@coyleneil,Labour,Bermondsey and Old Southwark,28931,-2,4368.0
175,Neale Hanvey,@JNHanvey,Scottish National Party,Kirkcaldy and Cowdenbeath,9517,3,4782.0
176,Naz Shah ,@NazShahBfd,Labour,Bradford West,60534,-15,4409.0
177,Nav Mishra,@NavPMishra,Labour,Stockport,13291,2,4811.0
178,Natalie Elphicke,@NatalieElphicke,Conservative,Dover,7885,-1,4795.0
179,Nadine Dorries ,@NadineDorries,Conservative,Mid Bedfordshire,154598,322,1481.0
180,Nadia Whittome,@NadiaWhittomeMP,Labour,Nottingham East,106454,-1,4869.0
181,Nadhim Zahawi ,@nadhimzahawi,Conservative,Stratford-on-Avon,100748,-143,4113.0
182,Munira Wilson,@munirawilson,Liberal Democrat,Twickenham,17666,0,4776.0
183,Mohammad Yasin,@YasinForBedford,Labour,Bedford,3429,-1,4598.0
184,Mims Davies ,@mimsdavies,Conservative,Mid Sussex,17895,5,4513.0
185,Mike Wood ,@mikejwood,Conservative,Dudley South,8044,5,4384.0
186,Mike Kane ,@MikeKaneMP,Labour,Wythenshawe and Sale East,12467,1,4316.0
187,Mike Amesbury,@MikeAmesburyMP,Labour,Weaver Vale,12380,0,4667.0
188,Mickey Brady ,@MickeyBradySF,Sinn Féin,Newry and Armagh,5439,0,4373.0
189,Mick Whitley,@MickWhitleyMP,Labour,Birkenhead,13812,1,4755.0
190,Michelle Gildernew,@gildernewm,Sinn Féin,Fermanagh and South Tyrone,21204,0,1416.0
191,Michelle Donelan ,@michelledonelan,Conservative,Chippenham,25274,3,4530.0
192,Michael Tomlinson ,@Michael4MDNP,Conservative,Mid Dorset and North Poole,11135,8,4497.0
193,Michael Gove ,@michaelgove,Conservative,Surrey Heath,245992,-176,1571.0
194,Michael Fabricant ,@Mike_Fabricant,Conservative,Lichfield,57695,20,280.0
195,Michael Ellis ,@Michael_Ellis1,Conservative,Northampton North,15205,-1,4116.0
196,Mhairi Black ,@MhairiBlack,Scottish National Party,Paisley and Renfrewshire South,231164,-20,4421.0
197,Mel Stride,@MelJStride,Conservative,Central Devon,6970,2,3935.0
198,Meg Hillier ,@Meg_HillierMP,Labour,Hackney South and Shoreditch,21271,-5,1524.0
199,Matthew Pennycook ,@mtpennycook,Labour,Greenwich and Woolwich,24652,-2,4520.0
200,Matthew Offord,@Offord4Hendon,Conservative,Hendon,10852,2,4006.0
201,Matthew Hancock ,@MattHancock,Conservative,West Suffolk,422559,-244,4070.0
202,Matt Western,@MattWestern_,Labour,Warwick and Leamington,12350,7,4617.0
203,Matt Warman ,@mattwarman,Conservative,Boston and Skegness,20167,1,4361.0
204,Matt Vickers,@Matt_VickersMP,Conservative,Stockton South,7505,-2,4844.0
205,Matt Rodda,@MattRodda,Labour,Reading East,7603,-1,4654.0
206,Mary Robinson ,@MaryRobinson01,Conservative,Cheadle,11033,-2,4406.0
207,Mary Glindon,@GlindonMary,Labour,North Tyneside,1463,1,4126.0
208,Mary Foy,@marykfoy,Labour,City of Durham,17347,2,4753.0
209,Martyn Day ,@MartynDaySNP,Scottish National Party,Linlithgow and East Falkirk,11452,8,4488.0
210,Martin Vickers ,@MartinVickers,Conservative,Cleethorpes,13029,-1,3957.0
211,Martin Docherty-Hughes,@MartinJDocherty,Scottish National Party,West Dunbartonshire,14289,5,4374.0
212,Marsha de Cordova,@MarshadeCordova,Labour,Battersea,41783,-5,4676.0
213,Mark Tami ,@MarkTamiMP,Labour,Alyn and Deeside,10300,2,1383.0
214,Mark Spencer ,@Mark_Spencer,Conservative,Sherwood,21927,10,4055.0
215,Mark Pritchard ,@MPritchardUK,Conservative,The Wrekin,12449,0,1576.0
216,Mark Pawsey ,@MarkPawsey,Conservative,Rugby,8542,0,4052.0
217,Mark Jenkinson,@markjenkinsonmp,Conservative,Workington,12127,-6,4752.0
218,Mark Hendrick,@MpHendrick,Labour,Preston,6012,-2,473.0
219,Mark Harper ,@Mark_J_Harper,Conservative,Forest of Dean,48605,-25,1520.0
220,Mark Garnier ,@Mark4WyreForest,Conservative,Wyre Forest,16737,4,4074.0
221,Mark Eastwood,@mark4dewsbury,Conservative,Dewsbury,5581,1,4807.0
222,Marion Fellows ,@marionfellows,Scottish National Party,Motherwell and Wishaw,12740,-3,4440.0
223,Marie Rimmer ,@MarieRimmer,Labour,St Helens South and Whiston,13940,-5,4457.0
224,Maria Miller ,@MariaMillerUK,Conservative,Basingstoke,21691,-4,1480.0
225,Maria Eagle ,@meaglemp,Labour,Garston and Halewood,48301,2,483.0
226,Maria Caulfield ,@mariacaulfield,Conservative,Lewes,24070,10,4492.0
227,Margaret Hodge ,@margarethodge,Labour,Barking,55766,5,140.0
228,Margaret Greenwood ,@MGreenwoodWW,Labour,Wirral West,22565,4,4400.0
229,Margaret Ferrier ,@MargaretFerrier,Independent,Rutherglen and Hamilton West,15962,10,4386.0
230,Marcus Jones ,@Marcus4Nuneaton,Conservative,Nuneaton,11018,3,4024.0
231,Marcus Fysh ,@MarcusFysh,Conservative,Yeovil,25867,-6,4446.0
232,Marco Longhi,@marcolonghi4dn,Conservative,Dudley North,5368,-2,4789.0
233,Maggie Throup ,@maggie_erewash,Conservative,Erewash,4074,2,4447.0
234,Lyn Brown ,@lynbrownmp,Labour,West Ham,14811,3,4495.0
235,Luke Pollard,@LukePollard,Labour,"Plymouth, Sutton and Devonport",44386,4,4682.0
236,Luke Hall ,@LukeHall,Conservative,Thornbury and Yate,5762,-1,4450.0
237,Luke Evans,@drlukeevans,Conservative,Bosworth,10647,1,4781.0
238,Lucy Powell ,@LucyMPowell,Labour,Manchester Central,64582,-3,4263.0
239,Lucy Frazer ,@lucyfrazermp,Conservative,South East Cambridgeshire,10544,-4,4517.0
240,Lucy Allan ,@lucyallan,Conservative,Telford,32879,-1,4411.0
241,Louise Haigh ,@LouHaigh,Labour,"Sheffield, Heeley",58443,10,4473.0
242,Louie French,@louie_french,Conservartive,Old Bexley and Sidcup,5328,-2,4932.0
243,Lloyd Russell-Moyle,@lloyd_rm,Labour,"Brighton, Kemptown",32732,2,4615.0
244,Liz Twist,@LizTwistMP,Labour,Blaydon,4885,-1,4618.0
245,Liz Saville Roberts ,@LSRPlaid,Plaid Cymru,Dwyfor Meirionnydd,21866,1,4521.0
246,Liz Kendall ,@leicesterliz,Labour,Leicester West,96287,4,4026.0
247,Lisa Nandy ,@lisanandy,Labour,Wigan,276905,68,4082.0
248,Lisa Cameron,@DrLisaCameronMP,Scottish National Party,"East Kilbride, Strathaven and Lesmahagow",14661,1,4412.0
249,Lindsay Hoyle,@LindsayHoyle_MP,Speaker,Chorley,41762,-3,467.0
250,Lilian Greenwood ,@LilianGreenwood,Labour,Nottingham South,30632,1,4029.0
251,Liam Byrne ,@liambyrnemp,Labour,"Birmingham, Hodge Hill",38649,4,1171.0
252,Lia Nici,@lia_nici,Conservative,Great Grimsby,4839,-2,4851.0
253,Leo Docherty,@LeoDochertyUK,Conservative,Aldershot,9050,5,4600.0
254,Lee Benjamin Rowley,@Lee4NED,Conservative,North East Derbyshire,11125,-1,4652.0
255,Layla Moran,@LaylaMoran,Liberal Democrat,Oxford West and Abingdon,79885,9,4656.0
256,Laurence Robertson ,@lrobertsonTewks,Conservative,Tewkesbury,5228,1,253.0
257,Laura Farris,@Laura__Farris,Conservative,Newbury,8234,1,4826.0
258,Kwasi Kwarteng ,@KwasiKwarteng,Conservative,Spelthorne,39563,4,4134.0
259,Kit Malthouse ,@kitmalthouse,Conservative,North West Hampshire,19021,-1,4495.0
260,Kirsty Blackman ,@KirstySNP,Scottish National Party,Aberdeen North,27426,4,4357.0
261,Kirsten Oswald ,@kirstenoswald,Scottish National Party,East Renfrewshire,16781,2,4413.0
262,Kim Johnson,@KimJohnsonMP,Labour,"Liverpool, Riverside",18596,7,4824.0
263,Kieran John Mullan,@KieranMullanUK,Conservative,Crewe and Nantwich,5184,-1,4860.0
264,Khalid Mahmood,@khalid4PB,Labour,"Birmingham, Perry Barr",7395,0,1392.0
265,Kevin Hollinrake ,@kevinhollinrake,Conservative,Thirsk and Malton,13047,1,4474.0
266,Kevin Foster ,@kevin_j_foster,Conservative,Torbay,9071,1,4451.0
267,Kevin Brennan ,@KevinBrennanMP,Labour,Cardiff West,26811,-6,1400.0
268,Kevan Jones ,@KevanJonesMP,Labour,North Durham,23718,1,1438.0
269,Kerry McCarthy ,@KerryMP,Labour,Bristol East,33064,3,1491.0
270,Kenny MacAskill,@KennyMacAskill,Scottish National Party,East Lothian,20032,8,4772.0
271,Kemi Badenoch,@KemiBadenoch,Conservative,Saffron Walden,112086,88,4597.0
272,Kelly Tolhurst ,@KellyTolhurst,Conservative,Rochester and Strood,15927,1,4487.0
273,Keir Starmer ,@Keir_Starmer,Labour,Holborn and St Pancras,1276013,137,4514.0
274,Katherine Fletcher,@K_Fletcher_MP,Conservative,South Ribble,5391,0,4834.0
275,Kate Osborne,@KateOsborneMP,Labour,Jarrow,20630,31,4783.0
276,Kate Osamor ,@KateOsamor,Labour,Edmonton,36681,-2,4515.0
277,Kate Hollern ,@Kate_HollernMP,Labour,Blackburn,10442,-2,4363.0
278,Kate Green ,@KateGreenSU,Labour,Stretford and Urmston,50948,-8,4120.0
279,Karl Turner ,@KarlTurnerMP,Labour,Kingston upon Hull East,45109,17,4030.0
280,Karl McCartney ,@karlmccartney,Conservative,Lincoln,11737,-1,4028.0
281,Karin Smyth ,@karinsmyth,Labour,Bristol South,15134,6,4444.0
282,Karen Buck ,@KarenPBuckMP,Labour,Westminster North,18993,4,199.0
283,Justin Tomlinson ,@JustinTomlinson,Conservative,North Swindon,21849,-1,4105.0
284,Justin Madders ,@justinmadders,Labour,Ellesmere Port and Neston,31250,-5,4418.0
285,Julie Marson,@JulieMarsonMP,Conservative,Hertford and Stortford,5265,-5,4768.0
286,Julie Elliott ,@JulieElliottMP,Labour,Sunderland Central,22514,3,4127.0
287,Julian Sturdy,@JulianSturdy,Conservative,York Outer,3512,-1,4079.0
288,Julian Smith ,@JulianSmithUK,Conservative,Skipton and Ripon,38211,0,4118.0
289,Julian Knight ,@julianknight15,Conservative,Solihull,13967,3,4410.0
290,Julia Lopez,@JuliaLopezMP,Conservative,Hornchurch and Upminster,8742,-1,4647.0
291,Judith Cummins ,@JudithCummins,Labour,Bradford South,15609,-4,4391.0
292,Joy Morrissey,@joymorrissey,Conservative,Beaconsfield,19310,1,4759.0
293,Jonathan Reynolds ,@jreynoldsMP,Labour,Stalybridge and Hyde,54606,13,4119.0
294,Jonathan Lord,@JonathanLord,Conservative,Woking,3379,1,4090.0
295,Jonathan Djanogly ,@JDjanogly,Conservative,Huntingdon,19860,4,1425.0
296,Jonathan Ashworth ,@JonAshworth,Labour,Leicester South,117836,29,4244.0
297,Jon Trickett ,@jon_trickett,Labour,Hemsworth,95747,19,410.0
